country,year,population,gdp,cement_co2,co2,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,consumption_co2,flaring_co2,gas_co2,methane,nitrous_oxide,oil_co2,other_industry_co2,primary_energy_consumption,total_ghg
India,1850,235732435,2.23E+11,,,,,,,,,,,,,,,
India,1851,236722812,2.24E+11,,,,,,,,,,,,,,,
India,1852,237693556,,,,,,,,,,,,,,,,
India,1853,238644470,,,,,,,,,,,,,,,,
India,1854,239599135,,,,,,,,,,,,,,,,
India,1855,240557565,,,,,,,,,,,,,,,,
India,1856,241519775,,,,,,,,,,,,,,,,
India,1857,242485780,,,,,,,,,,,,,,,,
India,1858,243455595,,,0.394,0.002,,,0.394,,0,0,,,0,,,
India,1859,244429232,,,0.636,0.003,,,0.636,,0,0,,,0,,,
India,1860,245406706,,,0.643,0.003,,,0.643,,0,0,,,0,,,
India,1861,246388032,2.20E+11,,0.497,0.002,0.002,,0.497,,0,0,,,0,,,
India,1862,247373226,,,0.55,0.002,,,0.55,,0,0,,,0,,,
India,1863,248362301,,,0.61,0.002,,,0.61,,0,0,,,0,,,
India,1864,249355276,,,0.577,0.002,,,0.577,,0,0,,,0,,,
India,1865,250352166,,,0.567,0.002,,,0.567,,0,0,,,0,,,
India,1866,251352986,,,0.64,0.003,,,0.64,,0,0,,,0,,,
India,1867,252357751,,,,,,,,,,,,,,,,
India,1868,253366477,,,,,,,,,,,,,,,,
India,1869,254283265,,,,,,,,,,,,,,,,
India,1870,255107500,2.15E+11,,,,,,,,,,,,,,,
India,1871,255838563,,,,,,,,,,,,,,,,
India,1872,256475832,,,,,,,,,,,,,,,,
India,1873,257018683,,,,,,,,,,,,,,,,
India,1874,257562626,,,,,,,,,,,,,,,,
India,1875,258107664,,,,,,,,,,,,,,,,
India,1876,258653799,,,,,,,,,,,,,,,,
India,1877,259201033,,,,,,,,,,,,,,,,
India,1878,259749368,,,1.767,0.007,,,1.767,,0,0,,,0,,,
India,1879,260650638,,,1.684,0.006,,,1.611,,0,0,,,0.073,,,
India,1880,261908874,,,1.887,0.007,,,1.777,,0,0,,,0.11,,,
India,1881,263528141,,,1.839,0.007,,,1.74,,0,0,,,0.099,,,
India,1882,265512544,,,2.196,0.008,,,1.969,,0,0,,,0.227,,,
India,1883,267866225,,,2.441,0.009,,,2.291,,0,0,,,0.15,,,
India,1884,270240712,2.34E+11,,2.73,0.01,0.012,,2.433,,0,0,,,0.297,,,
India,1885,272636189,2.42E+11,,2.459,0.009,0.01,,2.254,,0,0,,,0.205,,,
India,1886,275052841,2.36E+11,,2.772,0.01,0.012,,2.417,,0,0,,,0.355,,,
India,1887,277490853,2.49E+11,,3.066,0.011,0.012,,2.722,,0,0,,,0.344,,,
India,1888,279950415,2.52E+11,,3.41,0.012,0.014,,2.974,,0,0,,,0.436,,,
India,1889,282052078,2.47E+11,,4.022,0.014,0.016,,3.388,,0,0,,,0.634,,,
India,1890,283791657,2.60E+11,,4.432,0.016,0.017,,3.776,,0,0,,,0.656,,,
India,1891,285164933,2.36E+11,,4.772,0.017,0.02,,4.054,,0,0,,,0.718,,,
India,1892,286167644,2.55E+11,,5.247,0.018,0.021,,4.416,,0,0,,,0.831,,,
India,1893,286795490,2.62E+11,,5.543,0.019,0.021,,4.459,,0,0,,,1.084,,,
India,1894,287424652,2.66E+11,,5.617,0.02,0.021,,4.91,,0,0,,,0.707,,,
India,1895,288055133,2.59E+11,,7.035,0.024,0.027,,6.162,,0,0,,,0.872,,,
India,1896,288686934,2.40E+11,,7.608,0.026,0.032,,6.703,,0,0,,,0.905,,,
India,1897,289320059,2.84E+11,,8.253,0.029,0.029,,7.081,,0,0,,,1.172,,,
India,1898,289954511,2.85E+11,,9.125,0.031,0.032,,8.023,,0,0,,,1.102,,,
India,1899,290840108,2.63E+11,,10.054,0.035,0.038,,8.871,,0,0,,,1.183,,,
India,1900,291979136,2.72E+11,,11.93,0.041,0.044,,10.655,,0,0,,,1.275,,,
India,1901,293373897,2.77E+11,,13.18,0.045,0.048,,11.553,,0,0,,,1.627,,,
India,1902,295026710,3.01E+11,,14.515,0.049,0.048,,12.926,,0,0,,,1.59,,,
India,1903,296939909,3.05E+11,,14.802,0.05,0.049,,12.952,,0,0,,,1.85,,,
India,1904,298865451,3.06E+11,,16.561,0.055,0.054,,14.308,,0,0,,,2.253,,,
India,1905,300803415,3.01E+11,,16.931,0.056,0.056,,14.659,,0,0,,,2.272,,,
India,1906,302753881,3.09E+11,,19.549,0.065,0.063,,17.036,,0,0,,,2.514,,,
